,League,Year,Code,Team,Salary
207,epl,2019,TEMP,Burton Albion,0.0
208,epl,2019,CAR,Cardiff City,17782166.0
209,epl,2019,CHE,Chelsea,131278000.0
210,epl,2019,CRY,Crystal Palace,75322000.0
211,epl,2019,DER,Derby County,6340000.0
212,epl,2019,EVE,Everton,83116000.0
213,epl,2019,HUD,Huddersfield Town,28610000.0
214,epl,2019,HUL,Hull City,1000000.0
215,epl,2019,TEMP,Ipswich Town,0.0
216,epl,2019,LEI,Leicester City,74869000.0
217,epl,2019,LIV,Liverpool,128400000.0
218,epl,2019,TEMP,Luton Town,0.0
219,epl,2019,MNC,Manchester City,146521000.0
220,epl,2019,MAN,Manchester United,157595000.0
221,epl,2019,MID,Middlesbrough,0.0
222,epl,2019,TEMP,Millwall,0.0
223,epl,2019,NEW,Newcastle United,49221000.0
224,epl,2019,NOR,Norwich City,20698000.0
225,epl,2019,TEMP,Preston North End,0.0
226,epl,2019,QPR,Queens Park Rangers,0.0
227,epl,2019,REA,Reading,0.0
228,epl,2019,SHU,Sheffield United,16782000.0
229,epl,2019,TEMP,Sheffield Wednesday,1300000.0
230,epl,2019,SOU,Southampton,50752000.0
231,epl,2019,STK,Stoke City,31642000.0
232,epl,2019,SUN,Sunderland,0.0
233,epl,2019,SWA,Swansea City,21736000.0
234,epl,2019,TOT,Tottenham Hotspur,93138000.0
235,epl,2019,WAT,Watford,46670000.0
236,epl,2019,WHU,West Ham United,72424000.0
237,epl,2019,WGA,Wigan Athletic,0.0
238,epl,2019,WOL,Wolverhampton Wanderers,49965000.0
239,epl,2020,ARS,Arsenal,128779273.0
240,epl,2020,AVL,Aston Villa,56315396.0
241,epl,2020,TEMP,Barnsley,0.0
242,epl,2020,BIR,Birmingham City,1924000.0
243,epl,2020,BOL,Bolton Wanderers,0.0
244,epl,2020,BHA,Brighton & Hove Albion,46049333.0
245,epl,2020,TEMP,Bristol City,0.0
246,epl,2020,BUR,Burnley,36518000.0
247,epl,2020,TEMP,Burton Albion,0.0
248,epl,2020,CAR,Cardiff City,12663666.0
249,epl,2020,CHE,Chelsea,144766000.0
250,epl,2020,CRY,Crystal Palace,87291000.0
251,epl,2020,DER,Derby County,1820000.0
252,epl,2020,EVE,Everton,81161000.0
253,epl,2020,FUL,Fulham,43928800.0
254,epl,2020,HUD,Huddersfield Town,13468000.0
255,epl,2020,HUL,Hull City,0.0
256,epl,2020,TEMP,Ipswich Town,0.0
257,epl,2020,LEE,Leeds United,27826800.0
258,epl,2020,LEI,Leicester City,73751000.0
259,epl,2020,LIV,Liverpool,132854000.0
260,epl,2020,TEMP,Luton Town,30000.0
261,epl,2020,MNC,Manchester City,141449000.0
262,epl,2020,MAN,Manchester United,184315000.0
263,epl,2020,MID,Middlesbrough,2520024.0
264,epl,2020,TEMP,Millwall,0.0
265,epl,2020,NEW,Newcastle United,58366200.0
266,epl,2020,TEMP,Preston North End,0.0
267,epl,2020,QPR,Queens Park Rangers,0.0
268,epl,2020,REA,Reading,0.0
269,epl,2020,SHU,Sheffield United,20569600.0
270,epl,2020,TEMP,Sheffield Wednesday,1300000.0
271,epl,2020,SOU,Southampton,18460000.0
272,epl,2020,STK,Stoke City,20020000.0
273,epl,2020,SUN,Sunderland,0.0
274,epl,2020,SWA,Swansea City,5148000.0
275,epl,2020,TOT,Tottenham Hotspur,129175200.0
276,epl,2020,WBA,West Bromwich Albion,22486200.0
277,epl,2020,WHU,West Ham United,69464000.0
278,epl,2020,WGA,Wigan Athletic,0.0
279,epl,2020,WOL,Wolverhampton Wanderers,51494000.0
280,epl,2021,ARS,Arsenal,93961273.0
281,epl,2021,AVL,Aston Villa,57805396.0
282,epl,2021,TEMP,Barnsley,0.0
283,epl,2021,BIR,Birmingham City,0.0
284,epl,2021,BOL,Bolton Wanderers,0.0
285,epl,2021,BRE,Brentford,15654600.0
286,epl,2021,BHA,Brighton & Hove Albion,38907333.0
287,epl,2021,TEMP,Bristol City,0.0
288,epl,2021,BUR,Burnley,33908000.0
289,epl,2021,TEMP,Burton Albion,0.0
290,epl,2021,CAR,Cardiff City,6605000.0
291,epl,2021,CHE,Chelsea,175512000.0
292,epl,2021,CRY,Crystal Palace,67362000.0
293,epl,2021,DER,Derby County,0.0
294,epl,2021,EVE,Everton,87275000.0
295,epl,2021,HUD,Huddersfield Town,1976000.0
296,epl,2021,HUL,Hull City,0.0
297,epl,2021,TEMP,Ipswich Town,0.0
298,epl,2021,LEE,Leeds United,29816800.0
299,epl,2021,LEI,Leicester City,69165000.0
300,epl,2021,LIV,Liverpool,136234000.0
301,epl,2021,TEMP,Luton Town,420000.0
302,epl,2021,MNC,Manchester City,149344000.0
303,epl,2021,MAN,Manchester United,214485000.0
304,epl,2021,MID,Middlesbrough,0.0
305,epl,2021,TEMP,Millwall,0.0
306,epl,2021,NEW,Newcastle United,61096200.0
307,epl,2021,NOR,Norwich City,22820000.0
308,epl,2021,TEMP,Preston North End,0.0
309,epl,2021,QPR,Queens Park Rangers,0.0
310,epl,2021,REA,Reading,0.0
311,epl,2021,TEMP,Sheffield Wednesday,0.0
312,epl,2021,SOU,Southampton,51134000.0
313,epl,2021,STK,Stoke City,13390000.0
314,epl,2021,SUN,Sunderland,0.0
315,epl,2021,SWA,Swansea City,0.0
316,epl,2021,TOT,Tottenham Hotspur,89769200.0
317,epl,2021,WAT,Watford,30489000.0
318,epl,2021,WHU,West Ham United,66904000.0
319,epl,2021,WGA,Wigan Athletic,0.0
320,epl,2021,WOL,Wolverhampton Wanderers,48213600.0
321,epl,2022,BOU,AFC Bournemouth,43836000.0
322,epl,2022,ARS,Arsenal,103598000.0
323,epl,2022,AVL,Aston Villa,86760000.0
324,epl,2022,TEMP,Barnsley,0.0
325,epl,2022,BIR,Birmingham City,0.0
326,epl,2022,BOL,Bolton Wanderers,0.0
327,epl,2022,BRE,Brentford,30170000.0
328,epl,2022,BHA,Brighton & Hove Albion,36465000.0
329,epl,2022,TEMP,Bristol City,0.0
330,epl,2022,TEMP,Burton Albion,0.0
331,epl,2022,CAR,Cardiff City,0.0
332,epl,2022,CHE,Chelsea,214690000.0
333,epl,2022,DER,Derby County,0.0
334,epl,2022,EVE,Everton,80707000.0
335,epl,2022,FUL,Fulham,54068000.0
336,epl,2022,HUD,Huddersfield Town,0.0
337,epl,2022,HUL,Hull City,0.0
338,epl,2022,TEMP,Ipswich Town,0.0
339,epl,2022,LEE,Leeds United,20800000.0
340,epl,2022,LEI,Leicester City,59020000.0
341,epl,2022,LIV,Liverpool,160868000.0
342,epl,2022,MNC,Manchester City,182640000.0
343,epl,2022,MAN,Manchester United,211875000.0
344,epl,2022,MID,Middlesbrough,0.0
345,epl,2022,TEMP,Millwall,0.0
346,epl,2022,NEW,Newcastle United,76220600.0
347,epl,2022,NFO,Nottingham Forest,74740000.0
348,epl,2022,TEMP,Preston North End,0.0
349,epl,2022,QPR,Queens Park Rangers,0.0
350,epl,2022,REA,Reading,0.0
351,epl,2022,SHU,Sheffield United,13453200.0
352,epl,2022,TEMP,Sheffield Wednesday,0.0
353,epl,2022,SOU,Southampton,21320000.0
354,epl,2022,STK,Stoke City,40000.0
355,epl,2022,SUN,Sunderland,0.0
356,epl,2022,SWA,Swansea City,0.0
357,epl,2022,TOT,Tottenham Hotspur,110438000.0
358,epl,2022,WBA,West Bromwich Albion,4716200.0
359,epl,2022,WHU,West Ham United,86560000.0
360,epl,2022,WGA,Wigan Athletic,0.0
361,epl,2022,WOL,Wolverhampton Wanderers,63102000.0
362,mlb,2020,ARI,Arizona Diamondbacks,65598752.0
363,mlb,2020,ATL,Atlanta Braves,63561931.0
364,mlb,2020,BAL,Baltimore Orioles,23478635.0
365,mlb,2020,BOS,Boston Red Sox,84210390.0
366,mlb,2020,CHC,Chicago Cubs,86596171.0
367,mlb,2020,CHW,Chicago White Sox,53665251.0
368,mlb,2020,CIN,Cincinnati Reds,55535890.0
369,mlb,2020,CLE,Cleveland Indians,39299107.0
370,mlb,2020,COL,Colorado Rockies,67808533.0
371,mlb,2020,DET,Detroit Tigers,43164880.0
372,mlb,2020,HOU,Houston Astros,82890957.0
373,mlb,2020,KC,Kansas City Royals,34812194.0
374,mlb,2020,LAA,Los Angeles Angels,67040893.0
375,mlb,2020,LAD,Los Angeles Dodgers,124917397.0
376,mlb,2020,MIA,Miami Marlins,34222260.0
377,mlb,2020,MIL,Milwaukee Brewers,41434086.0
378,mlb,2020,MIN,Minnesota Twins,55679689.0
379,mlb,2020,NYM,New York Mets,81945598.0
380,mlb,2020,NYY,New York Yankees,111939081.0
381,mlb,2020,OAK,Oakland Athletics,36720178.0
382,mlb,2020,PHI,Philadelphia Phillies,73543547.0
383,mlb,2020,PIT,Pittsburgh Pirates,25337837.0
384,mlb,2020,SD,San Diego Padres,73097954.0
385,mlb,2020,SF,San Francisco Giants,73408817.0
386,mlb,2020,SEA,Seattle Mariners,51433829.0
387,mlb,2020,STL,St. Louis Cardinals,73246343.0
388,mlb,2020,TB,Tampa Bay Rays,28290689.0
389,mlb,2020,TEX,Texas Rangers,64214137.0
390,mlb,2020,TOR,Toronto Blue Jays,54997060.0
391,mlb,2020,WAS,Washington Nationals,75067703.0
392,mlb,2021,ARI,Arizona Diamondbacks,91632929.0
393,mlb,2021,ATL,Atlanta Braves,152750691.0
394,mlb,2021,BAL,Baltimore Orioles,42421870.0
395,mlb,2021,BOS,Boston Red Sox,187100784.0
396,mlb,2021,CHC,Chicago Cubs,144037170.0
397,mlb,2021,CHW,Chicago White Sox,140926169.0
398,mlb,2021,CIN,Cincinnati Reds,126587447.0
399,mlb,2021,CLE,Cleveland Indians,50670534.0
400,mlb,2021,COL,Colorado Rockies,116408966.0
401,mlb,2021,DET,Detroit Tigers,86348945.0
402,mlb,2021,HOU,Houston Astros,194222042.0
403,mlb,2021,KC,Kansas City Royals,91595545.0
404,mlb,2021,LAA,Los Angeles Angels,183849560.0
405,mlb,2021,LAD,Los Angeles Dodgers,266020809.0
406,mlb,2021,MIA,Miami Marlins,58157900.0
407,mlb,2021,MIL,Milwaukee Brewers,99377415.0
408,mlb,2021,MIN,Minnesota Twins,120084606.0
409,mlb,2021,NYM,New York Mets,201189189.0
410,mlb,2021,NYY,New York Yankees,205669863.0
411,mlb,2021,OAK,Oakland Athletics,90400598.0
412,mlb,2021,PHI,Philadelphia Phillies,197263223.0
413,mlb,2021,PIT,Pittsburgh Pirates,54356609.0
414,mlb,2021,SD,San Diego Padres,179764272.0
415,mlb,2021,SF,San Francisco Giants,171890308.0
416,mlb,2021,SEA,Seattle Mariners,83822113.0
417,mlb,2021,STL,St. Louis Cardinals,151469994.0
418,mlb,2021,TB,Tampa Bay Rays,70836327.0
419,mlb,2021,TEX,Texas Rangers,95788819.0
420,mlb,2021,TOR,Toronto Blue Jays,150140253.0
