Season,DateTime,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,Tottenham,West Brom,1,1,D,1,1,D
2013-14,2013-12-26T00:00:00Z,26/12/2013,00:00:00,West Ham,Arsenal,1,3,A,0,0,D
2013-14,2013-12-28T00:00:00Z,28/12/2013,00:00:00,Aston Villa,Swansea,1,1,D,1,1,D
2013-14,2013-12-28T00:00:00Z,28/12/2013,00:00:00,Cardiff,Sunderland,2,2,D,1,0,H
2013-14,2013-12-28T00:00:00Z,28/12/2013,00:00:00,Hull,Fulham,6,0,H,0,0,D
2013-14,2013-12-28T00:00:00Z,28/12/2013,00:00:00,Man City,Crystal Palace,1,0,H,0,0,D
2013-14,2013-12-28T00:00:00Z,28/12/2013,00:00:00,Norwich,Man United,0,1,A,0,0,D
2013-14,2013-12-28T00:00:00Z,28/12/2013,00:00:00,West Ham,West Brom,3,3,D,1,2,A
2013-14,2013-12-29T00:00:00Z,29/12/2013,00:00:00,Chelsea,Liverpool,2,1,H,2,1,H
2013-14,2013-12-29T00:00:00Z,29/12/2013,00:00:00,Everton,Southampton,2,1,H,1,0,H
2013-14,2013-12-29T00:00:00Z,29/12/2013,00:00:00,Newcastle,Arsenal,0,1,A,0,0,D
2013-14,2013-12-29T00:00:00Z,29/12/2013,00:00:00,Tottenham,Stoke,3,0,H,1,0,H
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Arsenal,Cardiff,2,0,H,0,0,D
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Crystal Palace,Norwich,1,1,D,1,1,D
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Fulham,West Ham,2,1,H,1,1,D
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Liverpool,Hull,2,0,H,1,0,H
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Man United,Tottenham,1,2,A,0,1,A
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Southampton,Chelsea,0,3,A,0,0,D
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Stoke,Everton,1,1,D,0,0,D
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Sunderland,Aston Villa,0,1,A,0,1,A
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,Swansea,Man City,2,3,A,1,1,D
2013-14,2014-01-01T00:00:00Z,01/01/2014,00:00:00,West Brom,Newcastle,1,0,H,0,0,D
2013-14,2014-01-11T00:00:00Z,11/01/2014,00:00:00,Cardiff,West Ham,0,2,A,0,1,A
2013-14,2014-01-11T00:00:00Z,11/01/2014,00:00:00,Everton,Norwich,2,0,H,1,0,H
2013-14,2014-01-11T00:00:00Z,11/01/2014,00:00:00,Fulham,Sunderland,1,4,A,0,2,A
2013-14,2014-01-11T00:00:00Z,11/01/2014,00:00:00,Hull,Chelsea,0,2,A,0,0,D
2013-14,2014-01-11T00:00:00Z,11/01/2014,00:00:00,Man United,Swansea,2,0,H,0,0,D
2013-14,2014-01-11T00:00:00Z,11/01/2014,00:00:00,Southampton,West Brom,1,0,H,0,0,D
2013-14,2014-01-11T00:00:00Z,11/01/2014,00:00:00,Tottenham,Crystal Palace,2,0,H,0,0,D
2013-14,2014-01-12T00:00:00Z,12/01/2014,00:00:00,Newcastle,Man City,0,2,A,0,1,A
2013-14,2014-01-12T00:00:00Z,12/01/2014,00:00:00,Stoke,Liverpool,3,5,A,2,2,D
2013-14,2014-01-13T00:00:00Z,13/01/2014,00:00:00,Aston Villa,Arsenal,1,2,A,0,2,A
2013-14,2014-01-18T00:00:00Z,18/01/2014,00:00:00,Arsenal,Fulham,2,0,H,0,0,D
2013-14,2014-01-18T00:00:00Z,18/01/2014,00:00:00,Crystal Palace,Stoke,1,0,H,0,0,D
2013-14,2014-01-18T00:00:00Z,18/01/2014,00:00:00,Liverpool,Aston Villa,2,2,D,1,2,A
